nohup: ignoring input
🚀 自动备份哨兵已启动...
✅ 已备份当前权重: sl_checkpoint_20260210_052153.pt
✅ 已备份当前权重: sl_checkpoint_20260210_055153.pt
✅ 已备份当前权重: sl_checkpoint_20260210_062153.pt
✅ 已备份当前权重: sl_checkpoint_20260210_065153.pt
✅ 已备份当前权重: sl_checkpoint_20260210_072153.pt
✅ 已备份当前权重: sl_checkpoint_20260210_075153.pt
✅ 已备份当前权重: sl_checkpoint_20260210_082153.pt
✅ 已备份当前权重: sl_checkpoint_20260210_085153.pt
✅ 已备份当前权重: sl_checkpoint_20260210_092154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_095154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_102154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_105154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_112154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_115154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_122154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_125154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_132154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_135154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_142154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_145154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_152154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_155154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_162154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_165154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_172154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_175154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_182154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_185154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_192154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_195154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_202154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_205154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_212154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_215154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_222154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_225154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_232154.pt
✅ 已备份当前权重: sl_checkpoint_20260210_235154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_002154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_005154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_012154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_015154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_022154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_025154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_032154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_035154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_042154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_045154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_052154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_055154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_062154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_065154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_072154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_075154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_082154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_085154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_092154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_095154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_102154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_105154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_112154.pt
✅ 已备份当前权重: sl_checkpoint_20260211_115155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_122155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_125155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_132155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_135155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_142155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_145155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_152155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_155155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_162155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_165155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_172155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_175155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_182155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_185155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_192155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_195155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_202155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_205155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_212155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_215155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_222155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_225155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_232155.pt
✅ 已备份当前权重: sl_checkpoint_20260211_235155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_002155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_005155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_012155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_015155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_022155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_025155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_032155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_035155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_042155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_045155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_052155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_055155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_062155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_065155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_072155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_075155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_082155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_085155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_092155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_095155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_102155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_105155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_112155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_115155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_122155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_125155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_132155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_135155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_142155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_145155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_152155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_155155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_162155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_165155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_172155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_175155.pt
